"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-01","11.41","0.09","0.9","37","25"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-02","4.47","0.00","0.0","34","22"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-03","11.41","0.87","0.0","38","32"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-04","10.51","0.16","0.5","41","26"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-05","11.41","0.00","0.0","26","19"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-06","7.16","0.07","1.1","26","15"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-07","10.51","0.24","4.8","18","14"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-08","13.20","0.03","0.4","17","6"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-09","10.07","0.00","0.0","15","2"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-10","10.51","0.06","0.0","40","10"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-11","15.21","0.22","0.0","48","37"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-12","19.01","0.45","0.0","57","39"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-13","18.79","0.00","0.0","54","21"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-14","8.50","0.00","0.0","27","14"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-15","8.05","0.00","0.0","34","20"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-16","12.30","0.00","0.0","36","18"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-17","8.72","0.40","0.7","38","31"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-18","8.05","0.24","1.3","32","30"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-19","6.71","0.00","0.0","41","30"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-20","3.58","0.00","0.0","36","28"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-21","9.62","0.00","0.0","50","32"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-22","9.17","0.01","0.0","47","34"
"USW00094746","WORCESTER, MA US","42.27054","-71.87312","305.5","2017-01-23","14.76","0.23","2.2","34","28"
