"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-01","11.63","0.07","0.9","37","26"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-02","6.71","0.04","0.8","26","21"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-03","5.37","0.00","0.0","21","16"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-04","7.61","0.00","0.1","16","2"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-05","5.37","0.00","0.0","16","0"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-06","4.25","0.00","0.0","18","0"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-07","2.01","0.11","1.4","15","-1"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-08","3.80","0.20","0.3","21","15"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-09","6.93","0.13","1.5","41","21"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-10","8.50","0.38","4.5","36","17"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-11","5.37","0.13","2.9","18","2"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-12","4.47","0.00","0.0","12","-6"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-13","3.80","0.00","0.0","10","-8"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-14","2.46","0.00","0.3","12","-2"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-15","3.80","0.00","0.5","15","0"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-16","4.70","0.00","0.1","15","1"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-17","7.16","0.14","0.0","24","0"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-18","13.42","0.12","0.0","48","21"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-19","4.70","0.01","0.0","47","36"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-20","10.07","0.00","0.0","46","32"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-21","4.92","0.00","0.0","45","31"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-22","10.74","0.00","0.0","47","31"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-23","4.70","0.00","0.0","33","25"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-24","3.36","0.00","0.0","31","29"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-25","3.80","0.00","0.1","38","29"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-26","2.46","0.02","0.5","37","30"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-27","3.80","0.00","0.0","32","28"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-28","3.58","0.00","0.0","33","29"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-29","4.47","0.00","0.0","38","27"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-30","5.14","0.00","0.0","39","29"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-01-31","3.58","0.30","4.6","34","14"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","45.6975","-118.83446","452.5","2017-02-01","3.13","0.00","0.0","21","11"
