"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-01","6.49","0.00","0.0","52","33"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-02","8.50","0.08","0.0","45","37"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-03","4.70","1.75","0.0","44","39"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-04","6.49","0.22","0.0","51","36"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-05","13.20","0.00","0.0","46","33"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-06","4.92","0.00","0.0","49","29"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-07","2.01","0.98","3.0","41","33"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-08","13.87","1.96","0.0","59","40"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-09","12.53","0.00","0.0","57","44"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-10","19.69","2.00","0.0","54","47"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-11","5.59","0.06","0.0","55","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-12","8.95","0.03","0.0","53","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-13","12.30","0.00","0.0","58","43"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-14","7.16","0.00","0.0","59","38"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-15","2.91","0.00","0.0","63","30"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-16","3.80","0.00","0.0","68","30"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-17","2.24","0.03","0.0","49","37"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-18","15.66","1.37","0.0","47","43"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-19","8.50","0.39","0.0","52","45"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-20","15.88","1.35","0.0","48","43"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-21","17.00","0.55","0.0","51","45"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-22","15.21","0.61","0.0","51","43"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-23","5.82","0.06","0.0","49","42"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-24","4.47","0.01","0.0","55","34"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-25","1.34","0.00","0.0","48","35"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-26","5.37","0.00","0.0","59","34"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-27","6.49","0.00","0.0","62","36"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-28","1.34","0.00","0.0","61","31"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-29","0.67","0.00","0.0","66","31"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-30","0.89","0.00","0.0","63","30"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-01-31","0.89","0.00","0.0","53","35"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-01","1.34","0.00","0.0","56","37"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-02","3.58","0.53","0.0","50","44"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-03","22.59","0.55","0.0","58","50"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-04","17.22","0.00","0.0","56","53"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-05","16.11","0.19","0.0","57","50"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-06","22.37","0.77","0.0","59","49"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-07","17.45","1.00","0.0","64","51"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-08","12.30","0.43","0.0","61","51"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-09","22.82","0.25","0.0","61","56"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-10","5.14","0.44","0.0","61","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-11","12.30","0.00","0.0","62","44"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-12","8.05","0.00","0.0","70","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-13","1.57","0.00","0.0","60","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-14","2.24","0.00","0.0","69","34"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-15","2.68","0.02","0.0","57","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-16","16.78","0.59","0.0","64","50"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-17","6.71","1.35","0.0","51","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-18","6.04","0.87","0.0","60","46"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-19","24.61","0.00","0.0","53","47"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-20","24.61","0.24","0.0","56","50"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-21","11.41","0.08","0.0","59","42"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-22","4.70","0.01","0.0","54","36"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-23","2.91","0.00","0.0","54","31"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-24","4.03","0.23","0.0","52","29"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-25","4.92","0.01","0.0","55","36"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-26","6.49","0.00","0.0","54","30"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-27","4.03","0.02","0.0","53","30"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-02-28","2.68","0.00","0.0","58","30"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-01","3.80","0.00","0.0","70","32"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-02","1.79","0.00","0.0","68","32"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-03","1.12","0.00","0.0","60","38"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-04","9.40","0.49","0.0","58","47"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-05","7.16","0.00","0.0","51","37"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-06","11.18","0.65","0.0","50","40"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-07","4.70","0.09","0.0","52","44"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-08","2.91","0.00","0.0","69","47"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-09","2.68","0.00","0.0","71","46"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-10","2.68","0.00","0.0","76","51"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-11","2.91","0.00","0.0","74","47"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-12","3.80","0.00","0.0","82","46"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-13","2.24","0.00","0.0","79","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-14","2.01","0.00","0.0","77","44"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-15","2.91","0.11","0.0","65","52"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-16","2.01","0.00","0.0","68","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-17","2.91","0.01","0.0","73","45"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-18","3.36","0.18","0.0","65","56"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-19","2.68","0.01","0.0","68","56"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-20","7.38","0.27","0.0","65","52"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-21","19.69","0.34","0.0","67","54"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-22","7.83","0.52","0.0","54","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-23","5.37","0.09","0.0","61","37"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-24","10.51","1.30","0.0","52","46"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-25","3.58","0.00","0.0","63","45"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-26","6.93","0.47","0.0","56","47"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-27","3.13","0.00","0.0","66","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-28","9.40","0.00","0.0","73","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-29","4.47","0.00","0.0","71","49"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-30","11.63","0.01","0.0","65","52"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-03-31","11.41","0.00","0.0","74","49"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-01","8.28","0.00","0.0","85","56"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-02","10.29","0.00","0.0","80","54"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-03","8.50","0.00","0.0","74","49"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-04","3.36","0.00","0.0","73","50"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-05","3.58","0.01","0.0","70","50"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-06","9.17","1.94","0.0","59","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-07","18.34","0.45","0.0","62","46"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-08","4.03","0.00","0.0","59","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-09","7.38","0.00","0.0","62","41"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-10","3.80","0.00","0.0","65","45"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-11","10.29","0.30","0.0","59","49"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-12","12.75","0.32","0.0","59","48"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-13","3.58","0.11","0.0","57","38"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-14","1.79","0.00","0.0","63","33"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-15","3.80","0.00","0.0","70","42"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-16","7.16","0.07","0.0","58","44"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-17","6.04","0.03","0.0","61","51"
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","2017-04-18","6.71","0.00","0.0","69","53"
