"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-01","5.37","0.00",,"48","28"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-02","4.70","0.17",,"38","29"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-03","5.14","0.42",,"42","37"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-04","10.51","0.02",,"51","29"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-05","7.16","0.01",,"32","21"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-06","6.26","0.03",,"29","20"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-07","8.95","0.01",,"23","16"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-08","14.32","0.00",,"23","13"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-09","4.70","0.00",,"23","8"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-10","5.82","0.13",,"36","14"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-11","3.58","0.36",,"47","29"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-12","6.26","0.10",,"63","47"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-13","11.41","0.00",,"54","32"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-14","3.13","0.00",,"33","28"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-15","4.92","0.00",,"38","23"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-16","2.24","0.00",,"41","18"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-17","3.13","0.34",,"42","35"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-18","6.26","0.00",,"49","37"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-19","4.03","0.00",,"49","32"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-20","0.89","0.22",,"39","28"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-21","1.34","0.00",,"47","39"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-22","4.03","0.00",,"50","41"
"USW00014712","READING REGIONAL AIRPORT, PA US","40.37342","-75.95924","101.3","2017-01-23","13.87","0.44",,"48","36"
