"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-01","5.82","0.03","0.0","72","50"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-02","8.28","0.00","0.0","79","66"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-03","10.07","0.45","0.0","76","56"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-04","10.29","0.00","0.0","70","54"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-05","5.37","0.00","0.0","68","44"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-06","4.03","0.01","0.0","64","48"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-07","13.65","1.13","0.0","49","32"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-08","7.83","0.00","0.0","45","27"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-09","6.04","0.00","0.0","49","28"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-10","4.47","0.00","0.0","65","30"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-11","6.49","0.00","0.0","74","43"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-12","3.36","0.00","0.0","77","47"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-13","2.01","0.00","0.0","79","47"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-14","3.36","0.00","0.0","79","49"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-15","2.24","0.00","0.0","78","46"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-16","5.59","0.00","0.0","75","52"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-17","4.92","0.00","0.0","76","57"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-18","10.07","0.00","0.0","78","57"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-19","5.59","0.00","0.0","79","55"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-20","6.26","0.00","0.0","78","58"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-21","7.16","0.73","0.0","79","59"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.2023","8.7","2017-01-22","10.29","4.19","0.0","67","58"
