"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-01","5.37","0.00","0.0","38","20"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-02","8.05","0.52","0.0","41","26"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-03","9.17","0.12","0.0","41","33"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-04","17.90","0.00","0.1","33","15"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-05","11.63","0.09","1.9","15","8"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-06","10.51","0.01","0.2","9","-2"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-07","12.08","0.03","0.5","16","-4"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-08","9.84","0.02","0.5","17","12"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-09","13.42","0.02","0.5","29","14"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-10","19.69","0.33","0.1","50","28"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-11","12.75","0.53","0.0","54","26"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-12","10.74","0.15","0.0","38","23"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-13","7.16","0.00","0.0","27","19"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-14","5.14","0.00","0.0","31","18"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-15","2.24","0.00","0.0","36","17"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-16","7.16","0.23","0.0","37","28"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-17","10.74","0.29","0.0","50","34"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-18","10.74","0.00","0.0","35","33"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-19","8.28","0.17","0.0","39","33"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-20","5.82","0.41","0.0","46","37"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-21","7.61","0.00","0.0","61","37"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-22","6.04","0.00","0.0","43","34"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-23","12.30","0.00","0.0","40","37"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-24","8.05","0.00","0.0","38","35"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-25","14.32","0.00","0.0","47","34"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-26","14.32","0.12","0.5","34","30"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-27","13.87","0.02","0.8","30","23"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-28","11.86","0.00","0.0","28","24"
"USW00014848","SOUTH BEND AIRPORT, IN US","41.70722","-86.31628","235.4","2017-01-29","9.84","0.07","2.2","27","21"
