"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-01","7.83","0.00",,"55","34"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-02","6.93","0.08",,"51","40"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-03","14.99","0.50",,"52","44"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-04","12.53","0.56",,"55","47"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-05","10.07","0.01",,"50","32"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-06","3.58","0.00",,"50","29"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-07","18.12","0.79",,"58","43"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-08","18.12","0.63",,"64","57"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-09","8.28","0.09",,"60","50"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-10","17.90","1.23",,"56","51"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-11","6.49","0.07",,"56","46"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-12","4.47","0.02",,"51","38"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-13","5.14","0.00",,"55","34"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-14","4.25","0.00",,"52","36"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-15","3.13","0.00",,"48","32"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-16","4.70","0.00",,"51","35"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-17","3.58","0.00",,"48","30"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-18","15.88","0.95",,"50","42"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-19","7.61","0.04",,"59","43"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-20","14.54","0.68",,"54","45"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-21","13.42","0.12",,"55","44"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-22","18.57","0.46",,"57","45"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-23","4.92","0.10",,"53","40"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-24","4.92","0.00",,"54","35"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-25","3.80","0.00",,"57","33"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-26","7.38","0.00",,"56","40"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-27","2.46","0.00",,"57","31"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-28","2.24","0.00",,"61","32"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-29","2.24","0.00",,"61","31"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-30","2.01","0.00",,"61","33"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-01-31","2.46","0.00",,"59","35"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-01","4.92","0.00",,"58","41"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-02","14.99","0.15",,"63","49"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-03","10.07","0.27",,"65","54"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-04","3.58","0.00",,"66","47"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-05","11.18","0.02",,"63","46"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-06","16.11","0.67",,"61","53"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-07","13.20","0.38",,"63","54"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-08","10.51","0.37",,"65","58"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-09","8.72","0.57",,"66","57"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-10","5.82","0.61",,"63","50"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-11","11.41","0.00",,"62","45"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-12","3.80","0.00",,"64","39"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-13","3.58","0.00",,"62","39"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-14","2.24","0.00",,"69","40"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-15","7.61","0.00",,"68","47"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-16","11.41","0.04",,"67","54"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-17","22.37","0.10",,"59","53"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-18","12.08","0.00",,"60","45"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-19","13.42","0.06",,"55","43"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-20","14.76","1.33",,"60","52"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-21","8.28","0.58",,"63","49"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-22","11.41","0.00",,"57","39"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-23","6.71","0.00",,"55","34"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-24","4.25","0.00",,"56","32"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-25","3.80","0.00",,"59","35"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-26","4.70","0.00",,"59","33"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-27","6.49","0.00",,"58","39"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-02-28","7.83","0.00",,"60","35"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-01","3.80","0.00",,"64","34"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-02","3.13","0.00",,"68","34"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-03","2.91","0.00",,"68","36"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-04","9.17","0.00",,"64","46"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-05","12.08","0.24",,"53","36"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-06","5.82","0.01",,"58","35"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-07","3.58","0.00",,"62","35"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-08","5.82","0.00",,"68","39"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-09","4.03","0.00",,"73","44"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-10","4.70","0.00",,"72","50"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-11","4.92","0.00",,"77","44"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-12","6.71","0.00",,"78","49"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-13","2.68","0.00",,"80","43"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-14","3.13","0.00",,"83","49"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-15","6.26","0.00",,"77","52"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-16","5.82","0.00",,"73","49"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-17","2.91","0.00",,"78","43"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-18","3.58","0.00",,"73","52"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-19","4.25","0.00",,"74","51"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-20","6.71","0.50",,"69","53"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-21","13.20","0.56",,"69","50"
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","2017-03-22","7.16","0.61",,"60","47"
