"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-01","8.50","0.11",,"30","22"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-02","10.07","0.00",,"23","15"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-03","1.34","0.00",,"20","6"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-04","2.46","0.00",,"22","1"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-05","0.89","0.00",,"16","2"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-06","1.12","0.00",,"20","5"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-07","1.12","0.12",,"21","1"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-08","2.01","0.35",,"29","17"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-09","2.91","0.12",,"31","25"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-10","5.82","0.03",,"31","16"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-11","2.46","0.00",,"21","8"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-12","2.01","0.00","0.0","20","6"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-13","3.80","0.00",,"20","8"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-14","2.24","0.00",,"22","1"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-15","2.91","0.00",,"15","2"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-16","1.34","0.00",,"19","3"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-17","1.57","0.15",,"32","12"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-18","2.01","0.33",,"44","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-19","4.70","0.02",,"43","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-20","2.91","0.00",,"47","26"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-21","2.91","0.01",,"40","35"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-22","4.03","0.22",,"42","32"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-23","1.79","0.00",,"36","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-24","3.58","0.00",,"34","31"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-25","2.24","0.00",,"33","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-26","2.68","0.00",,"34","29"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-27","2.01","0.00",,"33","24"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-28","0.67","0.00",,"35","23"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-29","2.68","0.00",,"36","21"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-30","0.67","0.00",,"36","20"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-01-31","4.25","0.00",,"36","19"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-01","4.92","0.00","0.0","32","11"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-02","2.24","0.00",,"30","9"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-03","2.24","0.69",,"24","13"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-04","2.24","0.14",,"37","24"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-05","2.01","0.39",,"40","32"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-06","10.07","0.06",,"46","27"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-07","2.68","0.00",,"35","22"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-08","0.89","0.29",,"30","25"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-09","3.80","0.34",,"45","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-10","10.07","0.00",,"45","33"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-11","5.14","0.00",,"39","23"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-12","0.89","0.00",,"41","19"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-13","0.67","0.00",,"45","19"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-14","1.12","0.00",,"49","20"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-15","2.01","0.60",,"42","27"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-16","5.82","0.50",,"48","39"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-17","3.80","0.04",,"47","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-18","2.01","0.18",,"40","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-19","2.46","0.08",,"42","31"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-20","4.70","0.22",,"44","31"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-21","3.13","0.29",,"37","33"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-22","1.34","0.00",,"38","26"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-23","2.24","0.00",,"35","24"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-24","0.89","0.04",,"37","19"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-25","4.92","0.00",,"35","21"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-26","2.24","0.10",,"33","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-27","4.25","0.08",,"33","26"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-02-28","7.61","0.00",,"35","22"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-01","9.17","0.00",,"45","32"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-02","5.82","0.10",,"46","36"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-03","7.83","0.08",,"49","36"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-04","6.71","0.00",,"45","32"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-05","5.37","0.02",,"42","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-06","7.16","0.02",,"41","29"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-07","4.70","0.34",,"38","25"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-08","5.37","0.01",,"40","33"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-09","4.03","0.32",,"41","34"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-10","10.07","0.00",,"58","36"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-11","6.93","0.06",,"55","33"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-12","3.36","0.00",,"53","38"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-13","2.24","0.56",,"47","40"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-14",,"0.13",,,
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-15","8.28","0.06",,"60","47"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-16","9.84","0.00",,"50","32"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-17","3.80","0.15",,"50","29"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-18","12.97","0.26",,"60","38"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-19","2.46","0.00",,"50","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-20","3.58","0.00",,"55","27"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-21","2.68","0.18",,"56","40"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-22","4.92","0.01",,"54","42"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-23","5.82","0.00",,"51","34"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-24","5.37","0.38",,"47","35"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-25","8.28","0.00",,"52","36"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-26","3.80","0.05",,"53","33"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-27","6.04","0.13",,"55","38"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-28","7.38","0.03",,"48","38"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-29","6.93","0.34",,"52","41"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-30","2.91","0.02",,"51","34"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-03-31","2.01","0.00",,"59","32"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-04-01","5.82","0.00",,"56","35"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-04-02","8.05","0.00",,"53","31"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-04-03","3.36","0.00",,"53","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-04-04","4.47","0.00",,"57","30"
"USW00094176","SPOKANE FELTS FIELD, WA US","47.68575","-117.32141","594.6","2017-04-05","4.03","0.09",,"63","40"
