"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-01","6.49","0.00","53","33"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-02","3.80","0.00","54","42"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-03","6.71","0.00","60","42"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-04","13.42","0.48","59","55"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-05","7.83","0.08","58","38"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-06","3.36","0.03","63","34"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-07","9.62","0.49","61","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-08","13.20","1.57","71","54"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-09","4.47","0.18","61","50"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-10","7.83","0.14","61","51"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-11","6.71","0.36","62","53"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-12","7.83","0.16","56","39"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-13","8.28","0.00","58","33"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-14","8.72","0.00","64","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-15","3.13","0.00","59","34"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-16","2.68","0.00","61","33"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-17","3.13","0.00","64","35"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-18","8.05","0.29","56","37"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-19","6.04","0.30","58","44"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-20","10.51","0.91","56","47"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-21","4.47","0.09","57","42"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-22","17.22","0.47","59","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-23","6.49","0.23","54","38"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-24","2.91","0.06","54","36"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-25","4.70","0.00","58","31"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-26","6.71","0.00","62","31"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-27","4.92","0.00","61","33"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-28","3.36","0.00","66","32"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-29","3.36","0.00","72","33"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-30","2.91","0.00","75","38"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-01-31","2.91","0.00","73","39"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-01","5.59","0.00","64","35"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-02","10.51","0.16","65","50"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-03","6.71","0.14","64","54"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-04","5.59","0.00","63","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-05","7.38","0.25","62","50"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-06","9.17","0.62","64","53"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-07","9.84","0.39","62","58"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-08","2.68","0.02","62","57"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-09","4.25","0.00","62","56"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-10","5.37","0.59","60","54"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-11","9.17","0.07","58","46"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-12","8.72","0.00","64","44"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-13","4.47","0.00","64","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-14","2.91","0.00","69","45"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-15","3.36","0.00","70","42"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-16","4.92","0.43","59","48"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-17","16.55","1.98","58","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-18","14.32","0.09","54","48"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-19","5.14","0.16","58","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-20","14.09","0.11","64","54"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-21","6.26","0.30","62","51"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-22","8.50","0.00","58","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-23","8.72","0.00","56","34"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-24","9.17","0.00","57","33"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-25","3.58","0.00","51","31"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-26","4.25","0.12","57","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-27","6.93","0.01","58","42"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-02-28","9.62","0.00","58","37"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-01","5.14","0.00","70","34"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-02","2.01","0.00","74","36"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-03","3.80","0.00","73","37"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-04","4.70","0.00","60","45"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-05","9.84","0.14","56","37"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-06","8.50","0.00","59","31"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-07","9.17","0.00","67","39"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-08","12.53","0.00","76","46"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-09","6.93","0.00","79","51"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-10","3.36","0.00","74","47"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-11","9.84","0.00","78","47"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-12","12.97","0.00","83","54"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-13","3.80","0.00","83","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-14","4.03","0.00","75","46"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-15","4.47","0.00","72","45"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-16","5.82","0.00","68","50"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-17","3.36","0.00","75","46"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-18","4.70","0.00","70","46"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-19","4.47","0.00","65","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-20","8.50","0.00","70","50"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-21","9.62","0.41","66","55"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-22","8.95","0.05","63","48"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-23","8.95","0.00","62","39"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-24","4.92","0.05","65","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-25","9.17","0.18","63","49"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-26","9.84","0.00","64","47"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-27","12.97","0.01","66","50"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-28","10.51","0.00","69","44"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-29","10.96","0.00","81","50"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-30","14.99","0.00","65","48"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-03-31","9.17","0.00","68","39"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-01","3.80","0.00","77","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-02","4.03","0.00","65","42"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-03","5.37","0.00","65","45"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-04","4.03","0.00","70","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-05","4.25","0.00","74","45"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-06","4.47","0.00","69","46"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-07","12.30","0.14","67","55"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-08","12.75","0.01","61","42"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-09","12.75","0.00","68","40"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-10","12.30","0.00","75","40"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-11","6.04","0.00","71","43"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-12","6.71","0.00","72","44"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-13","8.50","0.03","66","46"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-14","12.97","0.00","71","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-15","7.38","0.00","76","41"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-16","4.92","0.00","72","45"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-17","6.26","0.14","68","53"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-18","4.92","0.86","70","53"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-19","10.51","0.00","71","48"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","34.89403","-120.45216","74.2","2017-04-20","11.63","0.00","75","47"
