"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-01","7.61","0.00","0.0","80","62"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-02","6.71","0.00","0.0","81","65"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-03","8.28","0.00","0.0","77","67"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-04","6.26","0.09","0.0","72","62"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-05","4.03","0.00","0.0","70","62"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-06","7.61","0.02","0.0","76","60"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-07","16.78","0.09","0.0","73","44"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-08","17.67","0.00","0.0","52","37"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-09","13.42","0.00","0.0","64","44"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-10","7.38","0.00","0.0","69","53"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-11","6.49","0.00","0.0","74","59"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-12","4.92","0.00","0.0","78","60"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-13","8.28","0.00","0.0","71","63"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-14","8.28","0.00","0.0","74","63"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-15","7.38","0.00","0.0","75","64"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-16","5.37","0.00","0.0","76","64"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-17","3.80","0.00","0.0","78","64"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-18","2.68","0.00","0.0","78","62"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-19","4.92","0.00","0.0","78","61"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-20","6.93","0.00","0.0","76","64"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-21","10.74","0.00","0.0","77","66"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-22","19.01","0.33","0.0","78","67"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-23","14.76","0.12","0.0","71","60"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-24","6.93","0.00","0.0","69","59"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-25","8.50","0.00","0.0","72","60"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-26","9.62","0.00","0.0","75","65"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-27","9.17","0.00","0.0","66","58"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-28","8.72","0.00","0.0","59","49"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-29","5.37","0.03","0.0","62","49"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-30","7.38","0.00","0.0","62","53"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-01-31","5.37","0.00","0.0","67","52"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-02-01","4.03","0.00","0.0","71","55"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-02-02","6.04","0.00","0.0","73","59"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-02-03","5.82","0.00","0.0","75","59"
"USW00092806","ST PETERSBURG ALBERT WHITTED AIRPORT, FL US","27.76847","-82.62568","1.3","2017-02-04","8.05","0.00","0.0","73","62"
