"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-01","11.18","0.00","0.0","39","22"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-02","8.05","0.01","0.0","34","19"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-03","9.40","0.58","0.0","38","34"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-04","19.01","0.04","0.1","40","20"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-05","15.21","0.05","1.3","25","19"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-06","11.41","0.00","0.0","20","7"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-07","6.93","0.00","0.0","22","9"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-08","10.96","0.10","2.4","18","7"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-09","6.49","0.00","0.2","22","7"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-10","14.09","0.23","0.7","34","10"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-11","13.65","0.00","0.0","49","34"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-12","14.32","0.27","0.0","54","35"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-13","13.42","0.00","0.1","35","19"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-14","3.80","0.00","0.0","26","13"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-15","8.28","0.00","0.0","33","19"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-16","4.25","0.00","0.0","41","17"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-17","8.05","0.91","0.0","37","23"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-18","5.82","0.16","0.0","38","34"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-19","6.71","0.00","0.0","37","34"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-20","7.16","0.01","0.0","43","34"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-21","3.58","0.00","0.0","52","37"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-22","5.59","0.00","0.0","51","32"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-23","13.87","0.06","0.0","42","31"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-24","9.17","0.47","1.2","32","29"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-25","8.28","0.01","0.2","38","28"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-26","15.21","0.07","0.0","45","33"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-27","20.36","0.01","0.2","36","31"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-28","14.76","0.00","0.1","34","29"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-29","13.87","0.00","0.1","32","23"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-30","8.28","0.00","0.5","24","12"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-01-31","7.61","0.05","1.3","24","11"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-01","13.87","0.08","1.4","36","23"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-02","12.08","0.10","2.2","29","20"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-03","18.57","0.00","0.0","23","17"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-04","12.53","0.11","3.5","27","15"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-05","10.07","0.01","0.4","33","17"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-06","6.04","0.01","0.2","30","22"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-07","12.53","0.61","0.0","48","27"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-08","13.65","0.04","0.0","52","26"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-09","12.53","0.16","3.6","26","11"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-10","8.50","0.09","1.9","26","15"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-11","3.80","0.00","0.1","37","25"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-12","8.05","0.57","5.5","34","27"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-13","14.99","0.25","7.3","32","24"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-14","6.71","0.00","0.0","40","23"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-15","11.18","0.25","1.0","38","26"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-16","14.76","0.01","4.8","26","21"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-17","7.16","0.01","0.5","30","18"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-18","7.61","0.00","0.0","57","18"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-19","11.41","0.00","0.0","52","34"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-20","7.61","0.00","0.0","37","23"
"USW00014771","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US","43.1111","-76.10384","124.9","2017-02-21","8.50","0.03","0.0","47","21"
