"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-01","2.01","0.08","0.0","53","38"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-02","3.13","0.07","0.0","60","48"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-03","7.83","0.38","0.0","60","50"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-04","11.41","0.08","0.0","56","28"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-05","2.91","0.00","0.0","40","24"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-06","5.82","0.10","1.3","33","21"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-07","7.16","0.15","2.4","23","11"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-08","6.93","0.00","0.0","20","7"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-09","0.89","0.00","0.0","34","9"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-10","4.47","0.00","0.0","51","27"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-11","2.01","0.32","0.0","60","44"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-12","7.38","0.00","0.0","67","51"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-13","3.13","0.02","0.0","62","56"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-14","5.37","0.08","0.0","64","54"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-15","3.80","0.00","0.0","59","53"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-16","1.79","0.00","0.0","69","52"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-17","2.91","0.06","0.0","63","50"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-18","7.83","0.15","0.0","63","38"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-19","1.12","0.00","0.0","63","35"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-20","3.80","0.33","0.0","66","47"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-21","0.67","0.00","0.0","59","41"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-22","4.25","0.07","0.0","69","46"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-23","7.83","0.37","0.0","55","41"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-24","9.17","0.03","0.0","47","33"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-25","3.36","0.10","0.0","65","29"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-26","12.75","0.13","0.0","56","37"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-27","11.18","0.00","0.0","37","30"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-28","11.41","0.00","0.0","45","30"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-29","11.63","0.03","0.3","41","31"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-30","11.41","0.00","0.0","40","26"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-01-31","7.61","0.00","0.0","62","23"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-01","3.13","0.01","0.0","60","28"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-02","4.25","0.00","0.0","56","35"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-03","5.37","0.00","0.0","40","23"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-04","2.24","0.00","0.0","47","14"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-05","4.25","0.01","0.0","48","30"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-06","1.12","0.09","0.0","62","24"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-07","3.36","0.03","0.0","72","42"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-08","3.13","0.62","0.0","61","47"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-09","12.30","0.04","0.0","53","24"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-10","2.46","0.00","0.0","52","20"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-11","0.89","0.00","0.0","59","30"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-12","10.51","0.00","0.0","74","49"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-13","4.92","0.00","0.0","52","30"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-14","1.34","0.05","0.0","51","25"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-15","8.05","0.28","0.0","49","33"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-16","7.61","0.00","0.0","47","27"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-17","5.59","0.00","0.0","62","28"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-18","3.80","0.00","0.0","59","30"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-19","2.91","0.00","0.0","61","39"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-20","0.67","0.00","0.0","70","32"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-21","3.80","0.00","0.0","69","38"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-22","1.57","0.30","0.0","58","47"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-23","1.12","0.00","0.0","73","42"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-24","4.70","0.00","0.0","77","44"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-25","13.42","0.33","0.0","66","34"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-26","4.03","0.00","0.0","49","25"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-27","2.91","0.00","0.0","59","29"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-02-28","2.01","0.37","0.0","64","35"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-03-01","7.38","1.72","0.0","66","46"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-03-02","11.41","0.00","0.0","51","35"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-03-03","10.07","0.00","0.0","45","25"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-03-04","1.79","0.00","0.0","54","20"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-03-05","2.24","0.00","0.0","64","27"
"USW00013877","BRISTOL AIRPORT, TN US","36.47964","-82.39893","455.9","2017-03-06","4.03","0.00","0.0","61","43"
