"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-01","5.14","0.00",,"52","48"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-02","6.04","0.44",,"69","48"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-03","10.29","0.00",,"65","41"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-04","6.71","0.00",,"43","36"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-05","7.38","0.00",,"42","33"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-06","10.29","0.01",,"33","17"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-07","2.91","0.00",,"35","12"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-08","5.59","0.00",,"43","22"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-09","9.40","0.00",,"56","25"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-10","14.76","0.00",,"77","56"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-11","14.76","0.00",,"77","63"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-12","10.29","0.00",,"78","66"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-13","5.59","0.02",,"68","55"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-14","5.59","0.13",,"57","49"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-15","5.82","0.06",,"61","50"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-16","8.50","1.02",,"69","54"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-17","4.47","0.39",,"54","48"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-18","6.49","1.87",,"51","48"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-19","4.70","0.00",,"56","48"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-20","12.08","0.00",,"73","54"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-21","6.49","0.24",,"68","53"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-22","12.30","0.09",,"57","49"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-23","6.93","0.00",,"61","38"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-24","9.40","0.00",,"73","42"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-25","11.41","0.00",,"66","41"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-26","9.40","0.00",,"51","35"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-27","7.61","0.00",,"53","28"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-28","9.84","0.00",,"56","30"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-29","10.74","0.00",,"59","39"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-30","6.49","0.00",,"73","35"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-01-31","10.74","0.00",,"77","45"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-01","10.51","0.37",,"75","53"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-02","9.62","0.65",,"59","40"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-03","6.26","0.00",,"50","35"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-04","3.80","0.06",,"45","30"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-05","2.91","0.03",,"51","41"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-06","11.63","0.00",,"71","51"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-07","10.96","0.00",,"79","53"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-08","10.07","0.00",,"75","44"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-09","5.59","0.00",,"54","31"
"USW00013977","TEXARKANA WEBB FIELD, AR US","33.45606","-93.98777","115.8","2017-02-10","11.41","0.00",,"70","33"
