"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-01","7.38","0.00",,"68","59"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-02","8.50","0.61",,"71","52"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-03","12.08","0.00",,"66","39"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-04","6.49","0.00",,"41","34"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-05","8.95","0.00",,"46","30"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-06","13.42","0.00",,"30","18"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-07","4.92","0.00",,"39","15"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-08","7.83","0.00",,"48","20"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-09","13.87","0.00",,"62","33"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-10","21.25","0.00",,"77","61"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-11","19.69","0.00",,"78","65"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-12","12.53","0.00",,"80","64"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-13","7.61","0.05",,"76","56"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-14","4.47","0.21",,"63","51"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-15","10.74","0.24",,"68","57"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-16","6.26","2.34",,"68","55"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-17","5.82","0.45",,"55","48"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-18","5.59","1.61",,"56","47"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-19","8.05","0.00",,"58","51"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-20","11.18","0.00",,"73","54"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-21","8.05","0.03",,"69","50"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-22","13.87","0.00",,"62","51"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-23","7.61","0.00",,"66","41"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-24","14.32","0.00",,"79","51"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-25","10.51","0.00",,"68","42"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-26","6.71","0.00",,"54","34"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-27","5.37","0.00",,"55","29"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-28","8.28","0.00",,"57","37"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-29","9.84","0.00",,"63","40"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-30","6.71","0.00",,"76","39"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-01-31","11.18","0.00",,"76","43"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-01","11.86","0.00",,"77","53"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-02","8.95","0.00",,"65","45"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-03","9.62","0.00",,"56","41"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-04","8.28","0.00",,"51","41"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-05","5.59","0.04",,"70","48"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-06","13.65","0.01",,"74","64"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-07","11.41","0.00",,"80","53"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-08","12.08","0.00",,"78","47"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-09","8.50","0.00",,"63","36"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-10","13.42","0.00",,"73","44"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-11","15.43","0.00",,"85","68"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-12","10.07","0.00",,"75","65"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-13","11.41","0.00",,"68","57"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-14","12.30","0.85",,"58","44"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-15","8.28","0.00",,"61","39"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-16","4.70","0.00",,"65","32"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-17","9.84","0.00",,"69","42"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-18","7.83","0.00",,"81","54"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-19","12.53","0.00",,"77","60"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-20","8.28","1.35",,"70","52"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-21","6.49","0.00",,"73","55"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-22","4.70","0.00",,"80","48"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-23","14.32","0.00",,"85","56"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-24","12.08","0.00",,"66","50"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-25","6.04","0.00",,"57","36"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-26","9.84","0.00",,"67","40"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-27","10.51","0.01",,"83","63"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-02-28","14.99","0.00",,"82","69"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-01","12.30","0.00",,"71","47"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-02","5.14","0.00",,"67","40"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-03","5.14","0.00",,"70","40"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-04","9.17","0.15",,"60","44"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-05","11.41","0.19",,"65","51"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-06","16.33","0.05",,"82","65"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-07","11.63","0.03",,"72","47"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-08","6.26","0.00",,"75","42"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-09","9.62","0.00",,"78","61"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-10","8.50","0.01",,"82","64"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-11","10.74","0.10",,"73","43"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-12","8.05","0.14",,"53","41"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-13","8.72","0.04",,"63","42"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-14","3.58","0.00",,"64","35"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-15","8.95","0.00",,"63","46"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-16","12.75","0.00",,"73","49"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-17","13.42","0.00",,"80","65"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-18","7.16","0.00",,"79","62"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-19","9.40","0.00",,"84","61"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-20","13.20","0.00",,"87","66"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-21","9.62","0.00",,"84","59"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-22","7.38","0.00",,"78","61"
"USW00013972","TYLER POUNDS FIELD, TX US","32.3587","-95.404","159.5","2017-03-23","15.43","0.00",,"86","63"
