"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-01","7.38","0.30",,"42","32"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-02","9.84","0.00",,"34","30"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-03","14.32","0.00","0.0","36","28"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-04","12.97","0.00",,"35","23"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-05","7.16","0.00","0.0","37","20"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-06","2.24","0.00","0.0","36","16"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-07","9.40","0.06",,"30","24"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-08","6.93","0.55",,"39","29"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-09","6.04","0.54",,"41","34"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-10","6.49","0.55",,"42","33"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-11","5.14","0.21",,"33","29"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-12","7.83","0.00","0.0","34","22"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-13","4.92","0.00","0.0","32","18"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-14","5.59","0.00","0.0","34","18"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-15","4.25","0.00","0.0","36","18"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-16","4.25","0.00","0.0","37","23"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-17","2.46","0.58",,"39","27"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-18","7.61","0.92",,"55","37"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-19","10.07","0.01",,"52","39"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-20","4.70","0.24",,"47","40"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-21","7.83","0.22",,"50","37"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-22","6.71","0.11",,"52","39"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-23","3.58","0.00","0.0","53","32"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-24","0.67","0.00","0.0","47","27"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-25","1.79","0.00","0.0","48","37"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-26","1.12","0.00",,"50","35"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-27","1.34","0.00","0.0","48","31"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-28","1.12","0.00","0.0","48","31"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-29","2.24","0.01",,"43","32"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-30","4.03","0.00","0.0","47","41"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-01-31","5.82","0.00","0.0","46","34"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-01","16.78","0.00","0.0","43","35"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-02","16.33","0.00",,"44","35"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-03","6.26","0.80",,"49","31"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-04","13.87","0.63",,"54","46"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-05","5.59","2.12",,"48","36"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-06","8.28","0.10",,"43","32"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-07","5.14","0.08",,"40","31"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-08","5.14","1.13",,"43","39"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-09","12.75","0.45",,"60","43"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-10","10.07","0.09",,"51","40"
"USW00094281","AURORA STATE AIRPORT, OR US","45.24656","-122.77095","59.6","2017-02-11","2.01","0.00","0.0","51","35"
