"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-01","16.78","0.00",,"58","36"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-02","16.33","0.00",,"50","42"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-03","11.18","0.00",,"52","42"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-04","17.00","0.00",,"56","45"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-05","17.45","0.02",,"58","42"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-06","5.59","0.00",,"50","30"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-07","1.34","0.19",,"41","36"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-08","2.46","0.00",,"55","37"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-09","14.99","0.16",,"59","47"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-10","18.79","0.00",,"55","46"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-11","13.20","0.00",,"58","47"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-12","10.51","0.22",,"51","39"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-13","5.37","0.35",,"47","34"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-14","3.36","0.00",,"58","35"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-15","3.13","0.00",,"58","32"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-16","4.47","0.00",,"58","32"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-17","3.80","0.00",,"58","28"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-18","10.74","0.03",,"58","28"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-19","15.66","0.32",,"55","44"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-20","15.88","0.49",,"51","40"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-21","18.57","0.01",,"52","37"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-22","12.08","0.44",,"52","43"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-23","15.88","0.24",,"47","36"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-24","7.83","0.00",,"50","34"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-25","3.13","0.00",,"49","29"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-26","5.59","0.00",,"50","27"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-27","10.07","0.00",,"52","30"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-28","5.37","0.00",,"56","24"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-29","4.70","0.00",,"63","26"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-30","3.36","0.00",,"66","30"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-01-31","2.01","0.00",,"66","28"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-01","5.59","0.00",,"67","29"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-02","10.07","0.00",,"64","44"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-03","13.42","0.00",,"63","46"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-04","12.97","0.00",,"62","43"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-05","7.61","0.00",,"59","32"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-06","17.00","0.00",,"58","48"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-07","20.36","0.00",,"63","52"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-08","10.07","0.00",,"71","51"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-09","8.72","0.00",,"76","41"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-10","10.96","0.19",,"62","52"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-11","11.41","0.08",,"60","47"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-12","8.50","0.00",,"66","41"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-13","4.92","0.00",,"69","35"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-14","4.92","0.00",,"71","40"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-15","3.13","0.00",,"72","30"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-16","9.84","0.08",,"68","36"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-17","9.40","1.43",,"55","44"
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","2017-02-18","9.17","0.02",,"58","43"
