"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-01","8.05","0.29","6.0","31","15"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-02","14.32","0.00","0.1","29","24"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-03","9.62","0.00","0.0","26","10"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-04","10.51","0.00","0.0","31","10"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-05","5.82","0.00","0.0","24","-2"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-06","4.92","0.00","0.0","18","-4"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-07","5.59","0.11","1.6","23","-3"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-08","4.92","0.56","4.4","28","10"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-09","3.80","0.03","0.8","31","12"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-10","5.59","0.07","0.3","31","14"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-11","5.37","0.02","0.1","26","11"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-12","3.80","0.00","0.0","22","2"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-13","2.91","0.00","0.0","16","5"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-14","2.01","0.00","0.0","19","-1"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-15","1.79","0.00","0.1","19","15"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-16","1.57","0.00","0.1","20","11"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-17","1.12","0.12","0.1","23","15"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-18","1.34","0.17","0.0","34","23"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-19","1.57","0.00","0.0","36","30"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-20","4.92","0.24","0.8","39","25"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-21","1.12","0.04","0.0","44","33"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-22","4.25","0.38","0.8","38","31"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-23","5.59","0.00","0.0","39","25"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-24","3.80","0.00","0.0","31","20"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-25","0.45","0.00","0.0","31","24"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-26","2.01","0.00","0.0","36","28"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-27","2.46","0.01","0.2","37","31"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-28","1.12","0.00","0.0","38","33"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-29","2.01","0.00","0.0","34","30"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-30","2.91","0.00","0.0","33","27"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-01-31","5.14","0.12","3.7","36","12"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-01","9.84","0.00","0.0","32","5"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-02","7.61","0.00","0.0","31","21"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-03","4.47","0.22","1.5","28","20"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-04","2.91","0.00","0.0","32","13"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-05","3.80","0.28","3.5","37","13"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-06","4.47","0.05","0.5","43","21"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-07","5.59","0.00","0.0","33","12"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-08","3.36","0.40","4.4","30","26"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-09","2.68","0.18","0.0","47","29"
"USW00024243","YAKIMA AIRPORT, WA US","46.56398","-120.53488","321.0","2017-02-10","13.87","0.00","0.0","48","35"
