OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SAN,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,453,28,18,0,499,2,0,0,0,2,0,0,1,0,1,0,0,49,1,50,0,0,0,500,552
01/02/2017,488,23,23,0,534,1,0,0,0,1,0,0,0,0,0,0,0,53,2,55,0,0,0,534,590
01/03/2017,489,18,20,4,531,2,0,1,0,3,0,0,2,0,2,0,1,50,22,73,0,0,0,533,609
01/04/2017,470,25,30,0,525,1,2,0,0,3,0,1,4,4,9,0,0,79,73,152,0,0,0,534,689
01/05/2017,502,34,31,1,568,2,0,1,0,3,0,0,0,1,1,0,0,2,2,4,0,0,0,569,576
01/06/2017,503,32,27,6,568,2,3,0,0,5,0,1,1,1,3,0,1,54,13,68,0,0,0,571,644
01/07/2017,370,25,9,0,404,1,0,1,0,2,0,2,5,0,7,0,8,64,3,75,0,0,0,411,488
01/08/2017,429,16,22,0,467,3,2,0,0,5,0,0,4,0,4,0,2,87,5,94,0,0,0,471,570
01/09/2017,479,16,9,0,504,2,2,1,0,5,0,0,0,1,1,0,1,12,26,39,0,0,0,505,549
01/10/2017,443,17,20,0,480,2,1,0,0,3,0,1,0,0,1,0,4,42,50,96,0,0,0,481,580
01/11/2017,476,26,22,1,525,2,1,1,0,4,0,0,0,1,1,0,0,12,29,41,0,0,0,526,571
01/12/2017,504,20,29,0,553,0,0,2,0,2,0,0,0,0,0,0,0,6,21,27,0,0,0,553,582
01/13/2017,495,33,30,1,559,3,1,1,0,5,0,0,7,1,8,0,0,24,40,64,0,0,0,567,636
01/14/2017,361,21,20,1,403,1,0,2,0,3,0,1,4,1,6,0,1,78,1,80,0,0,0,409,492
01/15/2017,419,10,13,1,443,0,0,0,0,0,0,0,3,0,3,0,2,56,4,62,0,0,0,446,508
01/16/2017,477,33,29,0,539,1,1,1,0,3,0,0,1,0,1,0,0,51,1,52,0,0,0,540,595
01/17/2017,454,30,20,1,505,0,0,0,0,0,0,0,0,1,1,0,3,46,59,108,0,0,0,506,614
01/18/2017,454,31,19,1,505,2,1,1,0,4,0,1,1,5,7,0,0,30,63,93,0,0,0,512,609
01/19/2017,508,33,21,2,564,4,2,0,1,7,0,0,2,2,4,0,0,17,42,59,0,0,0,568,634
01/20/2017,470,28,27,0,525,4,1,0,1,6,0,0,0,1,1,0,3,8,3,14,0,0,0,526,546
01/21/2017,380,18,6,0,404,0,0,0,0,0,0,0,2,0,2,0,0,28,4,32,0,0,0,406,438
