OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SEA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,919,0,0,0,919,8,15,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,919,951
01/02/2017,1122,2,0,0,1124,2,26,30,0,58,0,0,1,0,1,0,3,6,0,9,0,0,0,1125,1192
01/03/2017,1055,10,1,0,1066,11,21,26,2,60,0,0,3,0,3,0,0,10,0,10,0,0,0,1069,1139
01/04/2017,1064,14,5,0,1083,20,28,21,0,69,0,0,3,0,3,0,2,7,0,9,0,0,0,1086,1164
01/05/2017,1063,14,2,0,1079,5,2,2,0,9,0,0,6,0,6,0,0,6,0,6,0,0,0,1085,1100
01/06/2017,1088,11,5,0,1104,0,1,1,0,2,0,0,0,0,0,0,1,4,0,5,0,0,0,1104,1111
01/07/2017,853,9,1,0,863,0,1,3,0,4,0,0,2,0,2,0,0,1,0,1,0,0,0,865,870
01/08/2017,917,1,5,0,923,0,3,1,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,923,929
01/09/2017,1052,11,5,0,1068,1,2,0,0,3,0,0,0,0,0,0,1,2,0,3,0,0,0,1068,1074
01/10/2017,995,19,5,1,1020,11,9,13,0,33,0,0,3,0,3,0,1,0,0,1,0,0,0,1023,1057
01/11/2017,1011,14,3,0,1028,12,26,23,0,61,0,0,5,0,5,0,0,11,0,11,0,0,0,1033,1105
01/12/2017,1037,18,3,0,1058,18,28,28,0,74,0,0,0,0,0,0,0,8,0,8,0,0,0,1058,1140
01/13/2017,1075,10,1,1,1087,12,26,39,4,81,0,0,2,0,2,0,1,3,0,4,0,0,0,1089,1174
01/14/2017,879,12,5,0,896,5,19,24,0,48,0,1,4,0,5,0,0,3,0,3,0,0,0,901,952
01/15/2017,960,6,2,0,968,3,0,2,0,5,0,0,4,0,4,0,0,0,0,0,0,0,0,972,977
01/16/2017,1048,15,1,0,1064,2,0,1,0,3,0,0,4,0,4,0,0,2,0,2,0,0,0,1068,1073
01/17/2017,947,13,10,0,970,2,1,0,0,3,0,1,0,0,1,0,2,0,0,2,0,0,0,971,976
01/18/2017,977,16,3,0,996,2,1,2,0,5,0,0,0,0,0,0,0,2,0,2,0,0,0,996,1003
01/19/2017,1050,16,4,0,1070,2,3,2,0,7,0,0,3,0,3,0,1,0,1,2,0,0,0,1073,1082
01/20/2017,1044,20,3,0,1067,5,2,2,0,9,0,0,2,0,2,0,2,2,0,4,0,0,0,1069,1082
