OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SEE,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,14,0,14,0,0,0,0,0,0,1,145,0,146,0,0,6,0,6,1081,0,1081,1241,1247
01/02/2017,0,0,29,2,31,0,0,0,0,0,0,0,83,0,83,0,0,12,0,12,1338,0,1338,1452,1464
01/03/2017,0,0,27,0,27,0,0,0,0,0,0,0,204,0,204,0,0,6,0,6,438,0,438,669,675
01/04/2017,0,0,38,1,39,0,0,1,0,1,0,0,236,4,240,0,0,14,3,17,382,2,384,663,681
01/05/2017,0,0,12,2,14,0,0,2,0,2,0,0,4,0,4,0,0,0,0,0,120,0,120,138,140
01/06/2017,0,0,36,1,37,0,0,1,1,2,0,0,212,0,212,0,1,14,2,17,493,0,493,742,761
01/07/2017,0,2,34,0,36,0,0,0,0,0,0,0,264,0,264,0,1,28,0,29,381,0,381,681,710
01/08/2017,0,0,26,0,26,0,0,1,0,1,0,1,245,0,246,0,0,9,0,9,366,0,366,638,648
01/09/2017,0,0,19,1,20,0,0,1,0,1,0,0,31,0,31,0,0,6,0,6,297,0,297,348,355
01/10/2017,0,1,48,3,52,0,0,2,0,2,0,0,121,1,122,0,0,9,1,10,875,0,875,1049,1061
01/11/2017,0,0,14,3,17,0,0,2,1,3,0,0,8,0,8,0,0,2,0,2,444,0,444,469,474
01/12/2017,0,0,21,3,24,0,0,1,0,1,0,0,76,0,76,0,0,11,2,13,400,0,400,500,514
01/13/2017,0,1,42,0,43,0,0,2,0,2,0,0,76,0,76,0,0,12,0,12,1017,0,1017,1136,1150
01/14/2017,0,0,42,0,42,0,0,2,0,2,0,0,341,0,341,0,1,18,0,19,608,0,608,991,1012
01/15/2017,0,0,37,1,38,0,0,1,0,1,0,1,115,0,116,0,0,13,2,15,958,0,958,1112,1128
01/16/2017,0,0,55,2,57,0,0,1,0,1,0,0,291,0,291,0,1,19,0,20,727,0,727,1075,1096
01/17/2017,0,1,47,0,48,0,0,0,0,0,0,1,381,1,383,0,0,18,2,20,527,0,527,958,978
01/18/2017,0,2,49,4,55,0,0,0,0,0,0,0,344,1,345,0,2,34,1,37,636,0,636,1036,1073
01/19/2017,0,0,5,2,7,0,0,0,0,0,0,0,30,0,30,0,0,5,0,5,188,0,188,225,230
01/20/2017,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,4
01/21/2017,0,2,26,2,30,0,0,1,0,1,0,0,121,0,121,0,0,6,0,6,1052,0,1052,1203,1210
