OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SGJ,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,5,18,0,23,0,0,0,0,0,0,39,55,0,94,0,1,2,0,3,68,0,68,185,188
01/02/2017,1,5,34,0,40,0,0,0,0,0,0,26,116,0,142,0,0,0,0,0,201,0,201,383,383
01/03/2017,0,4,27,0,31,0,0,0,0,0,0,4,5,4,13,0,0,0,0,0,5,0,5,49,49
01/04/2017,0,0,34,3,37,0,0,0,0,0,0,19,129,5,153,0,0,0,0,0,248,17,265,455,455
01/05/2017,0,7,34,11,52,0,0,0,0,0,0,16,200,0,216,0,0,0,0,0,344,8,352,620,620
01/06/2017,0,4,29,3,36,0,0,0,0,0,0,10,179,5,194,0,0,0,3,3,260,12,272,502,505
01/07/2017,0,2,14,1,17,0,0,0,0,0,0,4,3,4,11,0,0,0,0,0,6,0,6,34,34
01/08/2017,0,6,25,2,33,0,0,2,2,4,0,9,119,6,134,0,1,2,0,3,140,4,144,311,318
01/09/2017,0,8,32,6,46,0,0,0,0,0,0,6,100,2,108,0,0,3,1,4,179,3,182,336,340
01/10/2017,0,1,29,4,34,0,0,0,0,0,0,133,11,0,144,0,0,0,0,0,326,0,326,504,504
01/11/2017,0,3,30,7,40,0,0,0,0,0,0,4,132,8,144,0,0,1,3,4,260,0,260,444,448
01/12/2017,0,3,41,10,54,0,0,0,0,0,0,0,165,16,181,0,0,0,0,0,303,9,312,547,547
01/13/2017,0,6,32,1,39,0,0,0,0,0,0,17,178,2,197,0,0,8,0,8,260,0,260,496,504
01/14/2017,0,5,26,1,32,0,0,0,0,0,0,29,109,1,139,0,0,2,0,2,195,0,195,366,368
01/15/2017,0,7,26,6,39,0,0,0,0,0,0,26,128,6,160,0,0,0,0,0,272,2,274,473,473
01/16/2017,0,5,25,3,33,0,0,0,0,0,0,30,252,4,286,0,0,3,0,3,416,0,416,735,738
01/17/2017,0,9,47,1,57,0,0,0,0,0,0,12,162,6,180,0,0,0,4,4,246,0,246,483,487
01/18/2017,0,16,29,3,48,0,0,0,0,0,0,3,177,4,184,0,0,2,0,2,75,0,75,307,309
01/19/2017,0,6,25,2,33,0,0,0,0,0,0,8,107,1,116,0,0,0,0,0,76,0,76,225,225
01/20/2017,0,0,45,5,50,0,0,0,0,0,0,8,156,0,164,0,0,1,6,7,182,0,182,396,403
01/21/2017,0,1,17,0,18,0,0,0,0,0,0,38,120,5,163,0,0,0,0,0,84,0,84,265,265
