OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SJC,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,260,39,48,0,347,0,1,4,0,5,0,2,18,0,20,0,4,7,3,14,24,0,24,391,410
01/02/2017,307,74,61,0,442,0,3,10,0,13,0,0,10,0,10,0,0,10,4,14,8,0,8,460,487
01/03/2017,303,47,47,0,397,0,2,6,2,10,0,1,6,0,7,0,2,4,0,6,0,0,0,404,420
01/04/2017,308,58,45,2,413,2,0,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,413,425
01/05/2017,301,47,41,0,389,0,3,3,2,8,0,1,34,1,36,0,0,28,2,30,2,0,2,427,465
01/06/2017,307,52,47,0,406,0,3,2,1,6,0,4,32,0,36,0,5,40,2,47,48,0,48,490,543
01/07/2017,199,35,30,0,264,1,1,5,0,7,0,0,2,0,2,0,0,12,3,15,0,0,0,266,288
01/08/2017,267,71,51,0,389,0,1,3,0,4,0,0,2,0,2,0,0,2,0,2,0,0,0,391,397
01/09/2017,319,54,58,0,431,0,0,6,6,12,0,0,21,1,22,0,3,43,2,48,0,0,0,453,513
01/10/2017,316,89,52,0,457,2,3,7,0,12,0,0,1,0,1,0,0,2,0,2,0,0,0,458,472
01/11/2017,286,52,59,0,397,1,2,3,2,8,0,2,14,0,16,0,2,24,3,29,6,0,6,419,456
01/12/2017,311,77,44,0,432,0,2,2,1,5,0,0,18,0,18,0,0,23,2,25,0,0,0,450,480
01/13/2017,319,116,70,0,505,0,1,7,2,10,0,2,57,0,59,0,5,64,3,72,0,0,0,564,646
01/14/2017,215,25,16,0,256,0,1,2,0,3,0,0,37,0,37,0,3,37,0,40,18,0,18,311,354
01/15/2017,253,29,40,4,326,0,0,9,0,9,0,0,17,1,18,0,2,16,1,19,0,0,0,344,372
01/16/2017,322,74,53,1,450,1,2,10,0,13,0,0,41,1,42,0,4,56,2,62,40,0,40,532,607
01/17/2017,301,39,27,0,367,0,0,5,1,6,0,5,20,0,25,0,4,16,2,22,18,0,18,410,438
01/18/2017,300,54,54,0,408,0,0,1,2,3,0,2,1,0,3,0,0,9,1,10,0,0,0,411,424
01/19/2017,324,85,51,0,460,0,1,3,0,4,0,1,16,0,17,0,4,25,1,30,20,0,20,497,531
01/20/2017,312,62,42,2,418,0,0,2,1,3,0,0,17,0,17,0,3,21,0,24,0,0,0,435,462
01/21/2017,209,28,31,0,268,0,4,4,1,9,0,0,22,0,22,0,6,23,2,31,12,0,12,302,342
