OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SJU,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,233,67,33,0,333,0,0,0,0,0,0,150,26,0,176,0,30,13,0,43,0,0,0,509,552
01/02/2017,210,82,56,0,348,0,0,0,0,0,0,203,80,0,283,0,39,51,0,90,0,0,0,631,721
01/03/2017,224,117,25,0,366,0,0,0,0,0,0,138,61,0,199,0,20,15,0,35,0,0,0,565,600
01/04/2017,215,122,13,0,350,0,0,0,0,0,0,135,45,0,180,0,28,36,0,64,0,0,0,530,594
01/05/2017,233,120,7,0,360,0,0,0,0,0,0,143,23,0,166,0,27,31,1,59,0,0,0,526,585
01/06/2017,195,118,9,0,322,0,0,0,0,0,0,138,9,0,147,0,32,10,0,42,0,0,0,469,511
01/07/2017,256,91,4,0,351,0,0,0,0,0,0,114,42,0,156,0,27,16,0,43,0,0,0,507,550
01/08/2017,220,69,15,2,306,0,0,0,0,0,0,120,25,0,145,0,31,38,2,71,0,0,0,451,522
01/09/2017,189,114,10,1,314,0,0,0,0,0,0,99,20,0,119,0,29,4,0,33,0,0,0,433,466
01/10/2017,180,107,9,1,297,0,0,0,0,0,0,113,22,0,135,0,29,18,2,49,0,0,0,432,481
01/11/2017,188,111,10,9,318,0,0,0,0,0,0,110,21,0,131,0,31,11,0,42,0,0,0,449,491
01/12/2017,196,106,22,2,326,0,0,0,0,0,0,138,31,0,169,0,26,16,0,42,0,0,0,495,537
01/13/2017,185,128,28,4,345,0,0,0,0,0,0,136,31,0,167,0,26,22,0,48,0,0,0,512,560
01/14/2017,223,70,5,5,303,0,0,0,0,0,0,163,24,4,191,0,22,22,0,44,0,0,0,494,538
01/15/2017,202,57,12,4,275,0,0,0,0,0,0,113,13,0,126,0,24,7,0,31,0,0,0,401,432
01/16/2017,178,96,13,1,288,0,0,0,0,0,0,131,33,0,164,0,29,19,0,48,0,0,0,452,500
01/17/2017,184,100,12,2,298,0,0,0,0,0,0,107,21,1,129,0,27,19,0,46,0,0,0,427,473
01/18/2017,182,90,15,12,299,0,0,0,0,0,0,112,27,4,143,0,29,34,0,63,0,0,0,442,505
01/19/2017,191,111,32,4,338,0,0,0,0,0,0,116,32,0,148,0,27,21,0,48,0,0,0,486,534
01/20/2017,182,101,20,0,303,0,0,0,0,0,0,139,26,0,165,0,28,32,2,62,0,0,0,468,530
01/21/2017,226,64,14,9,313,0,1,0,0,1,0,147,29,0,176,0,28,29,1,58,0,0,0,489,548
