OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SLE,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
01/03/2017,0,2,12,4,18,0,0,0,0,0,0,2,50,15,67,0,1,5,0,6,40,36,76,161,167
01/04/2017,0,2,5,6,13,0,0,0,0,0,0,7,12,13,32,0,1,4,0,5,36,30,66,111,116
01/05/2017,0,1,9,4,14,0,0,0,0,0,0,5,71,16,92,0,0,14,0,14,86,14,100,206,220
01/06/2017,0,3,13,4,20,0,0,0,0,0,0,3,67,0,70,0,1,5,0,6,22,0,22,112,118
01/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2017,0,2,19,0,21,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,22,23
01/10/2017,0,6,4,3,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,6,22,22
01/11/2017,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
01/12/2017,0,5,2,0,7,0,0,0,0,0,0,1,28,27,56,0,2,3,0,5,8,36,44,107,112
01/13/2017,0,3,7,2,12,0,0,0,0,0,0,1,33,7,41,0,0,4,1,5,40,18,58,111,116
01/14/2017,0,0,6,0,6,0,0,0,0,0,0,2,43,0,45,0,0,11,0,11,20,0,20,71,82
01/15/2017,0,0,15,0,15,0,0,0,0,0,0,2,45,0,47,0,0,4,0,4,32,0,32,94,98
01/16/2017,0,2,10,2,14,0,0,0,0,0,0,2,50,0,52,0,0,7,0,7,8,0,8,74,81
01/17/2017,0,2,2,4,8,0,0,0,0,0,0,7,0,0,7,0,0,2,0,2,0,24,24,39,41
01/18/2017,0,12,2,1,15,0,0,0,0,0,0,0,13,5,18,0,0,0,0,0,12,46,58,91,91
01/19/2017,0,3,9,2,14,0,0,0,0,0,0,3,26,22,51,0,3,3,0,6,30,36,66,131,137
01/20/2017,0,3,13,2,18,0,0,0,0,0,0,4,20,12,36,0,1,4,0,5,0,4,4,58,63
01/21/2017,0,3,3,0,6,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,2,0,2,19,19
