OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SMO,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,21,34,0,55,0,0,0,0,0,0,5,110,0,115,0,0,61,1,62,43,0,43,213,275
01/02/2017,0,32,53,0,85,0,0,0,0,0,0,3,44,0,47,0,0,52,0,52,26,0,26,158,210
01/03/2017,0,35,36,0,71,0,0,0,0,0,0,3,76,0,79,0,0,63,1,64,97,0,97,247,311
01/04/2017,0,29,46,2,77,0,0,0,0,0,0,7,41,0,48,0,0,51,2,53,72,0,72,197,250
01/05/2017,0,16,22,0,38,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,39,41
01/06/2017,0,40,59,0,99,0,1,0,0,1,0,2,113,0,115,0,0,68,1,69,101,0,101,315,385
01/07/2017,0,11,22,0,33,0,0,0,0,0,0,0,70,0,70,0,0,83,0,83,47,0,47,150,233
01/08/2017,0,20,36,0,56,0,0,0,0,0,0,1,99,0,100,0,0,99,0,99,44,0,44,200,299
01/09/2017,0,15,32,0,47,0,0,0,0,0,0,0,14,0,14,0,0,10,0,10,4,0,4,65,75
01/10/2017,0,20,38,0,58,0,0,1,0,1,0,0,5,0,5,0,0,11,6,17,6,0,6,69,87
01/11/2017,0,21,46,0,67,0,0,0,0,0,0,0,46,0,46,0,0,25,0,25,11,0,11,124,149
01/12/2017,0,14,45,0,59,0,0,0,0,0,0,0,4,0,4,0,0,15,2,17,2,0,2,65,82
01/13/2017,0,48,75,0,123,0,0,0,0,0,0,2,98,0,100,0,0,66,3,69,60,0,60,283,352
01/14/2017,0,25,17,0,42,0,0,0,0,0,0,0,174,0,174,0,0,101,2,103,42,0,42,258,361
01/15/2017,0,19,31,0,50,0,0,0,0,0,0,0,72,0,72,0,0,66,0,66,42,0,42,164,230
01/16/2017,0,35,40,0,75,0,0,1,0,1,0,8,156,0,164,0,0,98,0,98,118,0,118,357,456
01/17/2017,0,34,38,0,72,0,0,0,0,0,0,0,144,0,144,0,0,62,5,67,78,0,78,294,361
01/18/2017,0,28,46,0,74,0,0,0,0,0,0,2,70,0,72,0,0,52,1,53,20,0,20,166,219
01/19/2017,0,31,35,0,66,0,0,0,0,0,0,0,23,0,23,0,0,43,1,44,14,0,14,103,147
01/20/2017,0,8,25,0,33,1,0,0,0,1,0,0,3,0,3,0,0,16,0,16,0,0,0,36,53
01/21/2017,0,24,24,0,48,0,0,0,0,0,0,0,138,0,138,0,0,99,0,99,32,0,32,218,317
