OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SNA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,242,52,51,0,345,5,3,2,0,10,0,0,86,0,86,0,0,14,0,14,78,0,78,509,533
01/02/2017,264,59,112,0,435,4,3,4,0,11,0,0,55,0,55,0,0,12,0,12,268,0,268,758,781
01/03/2017,259,48,74,0,381,6,0,3,0,9,0,1,156,1,158,0,1,32,0,33,192,0,192,731,773
01/04/2017,252,31,51,0,334,7,0,3,1,11,0,0,118,0,118,0,0,20,0,20,290,0,290,742,773
01/05/2017,266,29,75,0,370,9,0,2,1,12,0,0,17,0,17,0,0,2,0,2,18,0,18,405,419
01/06/2017,262,46,95,0,403,6,1,4,1,12,0,0,171,6,177,0,0,20,0,20,338,0,338,918,950
01/07/2017,185,26,51,0,262,8,0,0,0,8,0,2,180,0,182,0,1,25,0,26,240,0,240,684,718
01/08/2017,229,39,75,0,343,7,0,1,0,8,0,0,209,0,209,0,0,26,0,26,188,0,188,740,774
01/09/2017,259,26,74,0,359,9,0,2,0,11,0,0,20,0,20,0,0,10,0,10,102,0,102,481,502
01/10/2017,250,42,90,0,382,11,0,6,0,17,0,1,62,0,63,0,0,29,0,29,350,0,350,795,841
01/11/2017,251,35,106,0,392,10,0,2,0,12,0,0,97,0,97,0,0,19,0,19,228,0,228,717,748
01/12/2017,267,48,78,0,393,8,1,2,1,12,0,4,23,0,27,0,1,5,0,6,44,0,44,464,482
01/13/2017,262,46,98,0,406,7,0,2,0,9,0,2,180,0,182,0,1,24,0,25,262,0,262,850,884
01/14/2017,188,21,55,1,265,1,0,3,0,4,0,0,258,0,258,0,0,29,0,29,218,0,218,741,774
01/15/2017,203,27,57,1,288,3,0,2,0,5,0,0,112,1,113,0,0,32,0,32,126,0,126,527,564
01/16/2017,252,66,106,0,424,0,0,0,0,0,0,1,214,0,215,0,1,27,1,29,226,0,226,865,894
01/17/2017,237,28,82,3,350,8,0,2,0,10,0,0,241,1,242,0,1,24,0,25,168,0,168,760,795
01/18/2017,237,35,97,0,369,7,0,3,0,10,0,0,124,1,125,0,1,29,0,30,356,0,356,850,890
01/19/2017,248,55,92,1,396,10,0,5,0,15,0,1,69,1,71,0,0,18,1,19,142,0,142,609,643
01/20/2017,238,38,48,0,324,6,1,0,0,7,0,0,21,0,21,0,0,10,0,10,0,0,0,345,362
01/21/2017,168,26,44,0,238,14,0,1,0,15,0,1,162,0,163,0,0,36,1,37,256,0,256,657,709
