OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=STS,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,10,6,7,0,23,0,0,0,0,0,0,8,65,0,73,0,8,6,0,14,8,0,8,104,118
01/02/2017,16,8,11,0,35,0,0,0,0,0,0,3,19,0,22,0,2,0,0,2,22,0,22,79,81
01/03/2017,13,11,25,0,49,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,50,50
01/04/2017,10,6,15,0,31,0,0,0,0,0,0,4,18,0,22,0,4,2,0,6,34,0,34,87,93
01/05/2017,14,7,8,0,29,0,0,0,0,0,0,9,128,0,137,0,0,4,0,4,90,0,90,256,260
01/06/2017,12,20,11,0,43,0,0,0,0,0,0,12,132,0,144,0,5,3,0,8,88,0,88,275,283
01/07/2017,18,8,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
01/08/2017,14,6,8,0,28,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,30,31
01/09/2017,12,5,15,0,32,0,0,0,0,0,0,5,23,2,30,0,4,2,0,6,22,0,22,84,90
01/10/2017,11,11,7,0,29,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,31,32
01/11/2017,10,9,26,0,45,0,0,0,0,0,0,2,49,2,53,0,0,3,0,3,68,0,68,166,169
01/12/2017,14,6,22,0,42,0,0,0,0,0,0,5,49,0,54,0,0,5,0,5,128,0,128,224,229
01/13/2017,11,8,21,0,40,0,0,0,0,0,0,5,124,0,129,0,5,6,0,11,118,0,118,287,298
01/14/2017,12,2,10,0,24,0,0,0,0,0,0,10,154,0,164,0,7,11,0,18,66,0,66,254,272
01/15/2017,19,3,22,0,44,0,0,0,0,0,0,1,37,0,38,0,0,2,0,2,38,0,38,120,122
01/16/2017,14,13,27,0,54,0,0,0,0,0,0,4,70,0,74,0,0,2,0,2,8,0,8,136,138
01/17/2017,12,7,37,0,56,0,0,0,0,0,0,9,30,0,39,0,1,0,0,1,98,0,98,193,194
01/18/2017,10,11,15,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36
01/19/2017,13,10,26,0,49,0,0,0,0,0,0,4,31,0,35,0,2,1,0,3,84,0,84,168,171
01/20/2017,12,10,13,0,35,0,0,0,0,0,0,3,8,0,11,0,0,0,0,0,12,0,12,58,58
01/21/2017,10,10,9,1,30,0,0,0,0,0,0,2,24,1,27,0,0,0,0,0,42,0,42,99,99
