OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=STT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,41,12,16,0,69,0,0,0,0,0,0,58,33,0,91,0,0,1,0,1,0,0,0,160,161
01/02/2017,36,16,44,0,96,0,0,0,0,0,0,99,62,0,161,0,2,4,0,6,12,0,12,269,275
01/03/2017,39,22,26,0,87,0,0,0,0,0,0,66,61,0,127,0,2,0,0,2,26,0,26,240,242
01/04/2017,36,27,13,0,76,0,1,0,0,1,0,91,49,0,140,0,0,1,0,1,42,0,42,258,260
01/05/2017,34,23,10,0,67,0,0,0,0,0,0,101,50,1,152,0,0,0,0,0,8,0,8,227,227
01/06/2017,32,22,13,0,67,0,1,0,0,1,0,93,45,0,138,0,1,0,0,1,40,0,40,245,247
01/07/2017,51,13,11,0,75,0,0,0,0,0,0,70,53,3,126,0,4,1,0,5,10,0,10,211,216
01/08/2017,35,12,13,0,60,0,0,0,0,0,0,82,48,0,130,0,3,0,0,3,0,0,0,190,193
01/09/2017,30,19,7,0,56,0,1,0,0,1,0,103,45,0,148,0,4,0,2,6,24,0,24,228,235
01/10/2017,26,22,6,0,54,0,0,0,0,0,0,79,60,0,139,0,1,0,0,1,14,0,14,207,208
01/11/2017,26,23,8,0,57,0,0,0,0,0,0,80,39,1,120,0,3,0,0,3,0,0,0,177,180
01/12/2017,31,30,18,0,79,0,0,0,0,0,0,75,55,0,130,0,8,3,0,11,2,0,2,211,222
01/13/2017,30,22,11,0,63,0,0,0,0,0,0,59,59,6,124,0,3,0,0,3,0,0,0,187,190
01/14/2017,40,12,13,0,65,0,0,0,0,0,0,47,38,0,85,0,5,1,0,6,0,0,0,150,156
01/15/2017,33,11,12,0,56,0,0,0,0,0,0,72,24,0,96,0,2,0,0,2,2,0,2,154,156
01/16/2017,28,16,6,0,50,0,0,0,0,0,0,79,25,0,104,0,3,0,0,3,0,0,0,154,157
01/17/2017,26,22,2,0,50,0,0,0,0,0,0,85,41,0,126,0,3,0,0,3,0,0,0,176,179
01/18/2017,26,24,6,0,56,0,0,0,0,0,0,84,39,0,123,0,3,0,0,3,0,0,0,179,182
01/19/2017,30,33,6,0,69,0,0,0,0,0,0,83,56,0,139,0,0,0,0,0,16,0,16,224,224
01/20/2017,30,25,3,0,58,0,0,0,0,0,0,105,43,0,148,0,1,1,0,2,0,0,0,206,208
01/21/2017,42,15,8,0,65,0,1,0,0,1,0,64,16,1,81,0,2,0,0,2,10,0,10,156,159
