OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SUN,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,18,34,62,2,116,0,0,0,0,0,0,0,6,0,6,0,4,2,0,6,0,0,0,122,128
01/02/2017,8,28,54,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90
01/03/2017,7,38,50,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95
01/04/2017,6,7,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
01/05/2017,20,46,34,0,100,0,0,0,0,0,0,0,13,0,13,0,0,2,0,2,0,0,0,113,115
01/06/2017,14,22,32,0,68,0,0,0,0,0,0,0,25,0,25,0,0,12,0,12,0,0,0,93,105
01/07/2017,5,18,9,0,32,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,35,35
01/08/2017,2,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/09/2017,0,3,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
01/10/2017,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/11/2017,9,5,13,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
01/12/2017,12,20,35,0,67,0,0,0,0,0,0,0,6,2,8,0,0,2,0,2,0,0,0,75,77
01/13/2017,11,29,23,0,63,0,0,0,0,0,0,1,24,0,25,0,6,0,0,6,2,0,2,90,96
01/14/2017,17,12,15,0,44,0,0,0,0,0,0,1,17,0,18,0,0,0,0,0,0,0,0,62,62
01/15/2017,14,9,15,0,38,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,53,53
01/16/2017,12,25,39,0,76,0,0,0,0,0,0,0,15,0,15,0,4,0,0,4,10,0,10,101,105
01/17/2017,12,14,19,0,45,0,0,0,0,0,0,0,21,0,21,0,0,2,0,2,8,0,8,74,76
01/18/2017,9,5,8,0,22,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,27,27
01/19/2017,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/20/2017,2,8,19,0,29,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,33,33
01/21/2017,19,9,16,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
