OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=TIX,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,7,0,7,0,0,0,0,0,0,0,35,0,35,0,0,1,0,1,18,0,18,60,61
01/02/2017,0,0,5,0,5,0,0,0,0,0,0,0,53,0,53,0,0,9,0,9,160,0,160,218,227
01/03/2017,0,2,10,0,12,0,0,0,0,0,0,0,50,0,50,0,0,4,0,4,28,0,28,90,94
01/04/2017,0,2,9,0,11,0,0,0,0,0,0,0,30,0,30,0,0,2,0,2,40,0,40,81,83
01/05/2017,0,2,24,0,26,0,0,0,0,0,0,0,74,0,74,0,0,3,0,3,88,0,88,188,191
01/06/2017,0,0,25,0,25,0,0,0,0,0,0,0,68,0,68,0,0,5,0,5,126,0,126,219,224
01/07/2017,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/08/2017,0,0,17,0,17,0,0,0,0,0,0,0,35,1,36,0,0,8,1,9,44,0,44,97,106
01/09/2017,0,0,37,0,37,0,0,0,0,0,0,0,88,0,88,0,0,12,0,12,216,0,216,341,353
01/10/2017,0,0,46,1,47,0,0,0,0,0,0,0,82,0,82,0,0,9,0,9,182,0,182,311,320
01/11/2017,0,0,40,2,42,0,0,0,0,0,0,0,57,1,58,0,0,5,0,5,48,0,48,148,153
01/12/2017,0,1,15,0,16,0,0,0,0,0,0,0,49,0,49,0,0,3,0,3,58,0,58,123,126
01/13/2017,0,0,20,1,21,0,0,0,0,0,0,0,28,0,28,0,0,5,0,5,30,0,30,79,84
01/14/2017,0,0,27,0,27,0,0,0,0,0,0,0,87,0,87,0,0,3,0,3,98,0,98,212,215
01/15/2017,0,0,5,2,7,0,0,0,0,0,0,0,41,0,41,0,0,4,0,4,64,0,64,112,116
01/16/2017,0,0,37,0,37,0,0,0,0,0,0,0,94,0,94,0,0,14,0,14,240,0,240,371,385
01/17/2017,0,2,23,0,25,0,0,0,0,0,0,0,80,0,80,0,0,10,0,10,138,0,138,243,253
01/18/2017,0,5,20,0,25,0,0,0,0,0,0,0,58,0,58,0,0,4,0,4,66,0,66,149,153
01/19/2017,0,0,34,4,38,0,0,0,0,0,0,0,86,0,86,0,0,8,0,8,146,0,146,270,278
01/20/2017,0,0,15,0,15,0,0,0,0,0,0,0,67,0,67,0,0,9,0,9,108,0,108,190,199
01/21/2017,0,8,5,0,13,0,0,0,0,0,0,0,43,0,43,0,0,3,0,3,88,0,88,144,147
