OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=UNV,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,24,5,0,29,0,0,0,0,0,0,6,24,0,30,0,0,2,0,2,16,0,16,75,77
01/02/2017,0,25,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32
01/03/2017,2,29,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
01/04/2017,0,33,2,3,38,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,40,40
01/05/2017,0,23,6,0,29,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,16,0,16,52,52
01/06/2017,0,32,3,2,37,0,0,0,0,0,0,7,4,2,13,0,0,0,0,0,2,2,4,54,54
01/07/2017,0,20,9,0,29,0,0,0,0,0,0,4,10,0,14,0,0,0,0,0,4,0,4,47,47
01/08/2017,0,16,7,0,23,0,0,0,0,0,0,1,7,0,8,0,0,0,0,0,0,0,0,31,31
01/09/2017,0,22,3,0,25,0,0,0,0,0,0,2,12,0,14,0,0,0,0,0,10,0,10,49,49
01/10/2017,0,19,4,0,23,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,24,24
01/11/2017,0,14,4,0,18,0,0,0,0,0,0,5,5,0,10,0,0,0,0,0,20,0,20,48,48
01/12/2017,0,27,7,2,36,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,10,0,10,50,50
01/13/2017,0,32,12,0,44,0,0,0,0,0,0,3,17,0,20,0,2,6,0,8,26,0,26,90,98
01/14/2017,0,17,0,0,17,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,28,0,28,49,49
01/15/2017,0,26,13,0,39,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,16,0,16,80,80
01/16/2017,0,25,14,0,39,0,0,0,0,0,0,3,7,0,10,0,0,0,0,0,16,0,16,65,65
01/17/2017,0,26,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
01/18/2017,0,26,10,2,38,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,52,0,52,94,94
01/19/2017,1,30,14,0,45,0,0,0,0,0,0,2,26,0,28,0,0,6,0,6,76,0,76,149,155
01/20/2017,0,31,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39
01/21/2017,0,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
