OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=WDG,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,2,0,2,0,0,0,0,0,0,0,14,0,14,0,0,2,0,2,6,0,6,22,24
01/02/2017,0,0,6,0,6,0,0,0,0,0,0,0,15,0,15,0,0,4,0,4,18,0,18,39,43
01/03/2017,0,2,9,39,50,0,0,0,0,0,0,0,4,45,49,0,0,0,0,0,0,33,33,132,132
01/04/2017,0,2,11,40,53,0,0,0,0,0,0,0,15,41,56,0,0,8,0,8,0,43,43,152,160
01/05/2017,0,3,3,37,43,0,0,0,0,0,0,0,5,39,44,0,0,14,0,14,0,2,2,89,103
01/06/2017,0,2,6,0,8,0,0,0,0,0,0,0,4,9,13,0,0,0,0,0,0,0,0,21,21
01/07/2017,0,2,1,2,5,0,0,0,0,0,0,0,5,10,15,0,2,0,0,2,4,6,10,30,32
01/08/2017,0,0,5,6,11,0,0,0,0,0,0,0,6,8,14,0,0,0,2,2,0,0,0,25,27
01/09/2017,0,2,6,32,40,0,0,0,0,0,0,0,7,33,40,0,0,0,4,4,8,31,39,119,123
01/10/2017,0,2,7,29,38,0,0,0,0,0,0,0,6,31,37,0,0,2,0,2,6,38,44,119,121
01/11/2017,0,2,3,40,45,0,0,0,0,0,0,0,10,40,50,0,0,2,0,2,0,27,27,122,124
01/12/2017,0,2,10,33,45,0,0,0,0,0,0,0,7,42,49,0,0,8,0,8,0,72,72,166,174
01/13/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/14/2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
01/15/2017,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/16/2017,0,2,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4
01/17/2017,0,2,7,58,67,0,0,0,0,0,0,0,15,63,78,0,0,4,0,4,0,67,67,212,216
01/18/2017,0,2,11,32,45,0,0,0,0,0,0,0,5,32,37,0,0,8,0,8,0,12,12,94,102
01/19/2017,0,2,1,47,50,0,0,0,0,0,0,0,12,17,29,0,0,0,0,0,0,6,6,85,85
01/20/2017,0,2,9,2,13,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,7,2,9,28,28
01/21/2017,0,2,1,16,19,0,0,0,0,0,0,0,2,4,6,0,0,2,0,2,0,29,29,54,56
