OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=XNA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,34,24,8,0,66,0,0,0,0,0,0,1,0,0,1,0,2,24,0,26,0,0,0,67,93
01/02/2017,35,36,7,0,78,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78,84
01/03/2017,44,32,5,0,81,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,81,93
01/04/2017,37,27,8,7,79,0,0,0,0,0,0,2,2,9,13,0,4,28,0,32,0,8,8,100,132
01/05/2017,31,30,10,1,72,0,0,4,0,4,0,0,0,0,0,0,4,6,0,10,0,0,0,72,86
01/06/2017,42,30,6,10,88,0,0,0,0,0,0,16,6,0,22,0,0,22,0,22,0,12,12,122,144
01/07/2017,30,18,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,48,72
01/08/2017,39,31,7,11,88,0,0,0,0,0,0,2,1,0,3,0,2,36,0,38,0,0,0,91,129
01/09/2017,52,30,6,5,93,0,0,0,0,0,0,0,0,0,0,0,6,24,0,30,0,0,0,93,123
01/10/2017,56,32,16,21,125,0,0,0,0,0,0,2,0,2,4,0,0,24,0,24,0,14,14,143,167
01/11/2017,52,36,17,15,120,0,0,0,0,0,0,0,0,2,2,0,0,20,0,20,0,16,16,138,158
01/12/2017,52,31,18,12,113,0,0,12,0,12,0,2,0,4,6,0,6,8,0,14,4,0,4,123,149
01/13/2017,46,35,5,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
01/14/2017,34,14,6,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54
01/15/2017,35,19,8,0,62,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,64
01/16/2017,67,34,9,8,118,0,0,0,0,0,0,1,1,0,2,0,0,14,0,14,0,0,0,120,134
01/17/2017,51,30,7,4,92,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,92,94
01/18/2017,55,26,24,0,105,0,0,2,0,2,0,4,0,0,4,0,0,2,0,2,0,0,0,109,113
01/19/2017,55,35,16,4,110,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,112,114
01/20/2017,52,42,14,35,143,0,0,6,0,6,0,1,1,3,5,0,0,12,0,12,0,34,34,182,200
01/21/2017,28,14,5,13,60,0,0,2,0,2,0,3,1,0,4,0,2,10,0,12,0,2,2,66,80
